"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"M&amp;M","EQ","17-Jun-2020","        506.75","        504.90","        504.90","        492.50","        497.00","        497.60","        497.59","    9274056","          4614632628.60","     109803"
"M&amp;M","EQ","18-Jun-2020","        497.60","        496.90","        508.90","        492.00","        506.00","        506.60","        502.92","    7114852","          3578202463.00","     108621"
"M&amp;M","EQ","19-Jun-2020","        506.60","        506.60","        506.60","        496.40","        499.95","        500.05","        501.48","    9811021","          4920013739.65","     104861"
"M&amp;M","EQ","22-Jun-2020","        500.05","        501.75","        502.25","        494.10","        498.50","        498.75","        498.00","    5149781","          2564612305.80","      96936"
"M&amp;M","EQ","23-Jun-2020","        498.75","        500.00","        519.90","        497.60","        515.05","        516.40","        509.44","    9132472","          4652413828.90","     132410"
"M&amp;M","EQ","24-Jun-2020","        516.40","        520.00","        527.65","        512.55","        515.00","        515.35","        519.85","    7569986","          3935281777.15","     147317"
"M&amp;M","EQ","25-Jun-2020","        515.35","        509.90","        516.35","        503.35","        506.70","        507.25","        508.87","    5249631","          2671360779.75","      74896"
"M&amp;M","EQ","26-Jun-2020","        507.25","        515.00","        515.25","        498.70","        500.00","        501.40","        506.47","    4079405","          2066097782.25","      83611"
"M&amp;M","EQ","29-Jun-2020","        501.40","        494.10","        510.95","        493.05","        505.10","        507.45","        503.55","    4459962","          2245820346.65","      77159"
"M&amp;M","EQ","30-Jun-2020","        507.45","        509.00","        515.50","        507.10","        510.65","        510.70","        510.71","    5487685","          2802601126.75","      83132"
"M&amp;M","EQ","01-Jul-2020","        510.70","        513.75","        521.40","        494.25","        502.30","        498.95","        508.38","    8990865","          4570799322.65","     111670"
"M&amp;M","EQ","02-Jul-2020","        498.95","        506.50","        532.00","        504.40","        531.00","        529.70","        521.24","   16513525","          8607514707.25","     187316"
"M&amp;M","EQ","03-Jul-2020","        529.70","        531.40","        535.50","        524.20","        532.30","        530.50","        529.59","    7982336","          4227326151.75","     116954"
"M&amp;M","EQ","06-Jul-2020","        530.50","        533.65","        573.55","        533.65","        569.70","        570.55","        558.33","   16728409","          9339889287.90","     192165"
"M&amp;M","EQ","07-Jul-2020","        570.55","        565.00","        568.00","        551.65","        560.30","        560.00","        559.00","    9208254","          5147381257.80","     161209"
"M&amp;M","EQ","08-Jul-2020","        560.00","        564.00","        568.25","        549.00","        551.20","        551.25","        560.47","    5173213","          2899421599.10","      77899"
"M&amp;M","EQ","09-Jul-2020","        551.25","        554.00","        564.30","        548.05","        563.00","        560.30","        555.68","    4123903","          2291575580.75","      97132"
"M&amp;M","EQ","10-Jul-2020","        560.30","        555.30","        568.95","        552.00","        554.80","        554.85","        559.12","    5752463","          3216316446.05","      87823"
"M&amp;M","EQ","13-Jul-2020","        554.85","        560.00","        560.50","        549.20","        553.50","        555.85","        555.15","    3167393","          1758364944.80","      74671"
"M&amp;M","EQ","14-Jul-2020","        555.85","        553.00","        553.95","        538.00","        543.75","        545.20","        546.65","    3097320","          1693153051.85","      48728"
"M&amp;M","EQ","15-Jul-2020","        545.20","        550.00","        559.70","        542.75","        552.80","        550.15","        550.15","    5671830","          3120363460.10","      86619"
